Designator,Mid X,Mid Y,Rotation,Layer
BZ1,144.855,-71.745,0.0,top
CARD-READER1,134.955,-54.795,270.0,top
D1,106.805,-124.755,90.0,bottom
D2,125.855,-124.755,90.0,bottom
D3,144.815,-124.755,90.0,bottom
D4,106.805,-143.805,90.0,bottom
D5,125.855,-143.805,90.0,bottom
D6,144.905,-143.805,90.0,bottom
D7,106.805,-162.855,90.0,bottom
D8,125.855,-162.855,90.0,bottom
D9,144.905,-162.855,90.0,bottom
DISPLAY1,104.89,-63.795,270.0,top
MCU1,109.815,-80.9575,270.0,top
MICORFON_S1,141.005,-87.67,0.0,top
MICROFON_D1,148.505,-87.77,0.0,top
PROXI1,116.295,-175.645,270.0,top
Q1,134.685,-60.855,180.0,top
R1,130.805,-64.345,0.0,top
R2,146.505,-64.145,180.0,top
RV1,97.255,-105.845,270.0,top
RV2,116.305,-105.845,270.0,top
RV3,135.355,-105.845,270.0,top
S1,97.255,-126.045,0.0,top
S2,116.305,-126.045,0.0,top
S3,135.355,-126.045,0.0,top
S4,97.255,-145.095,0.0,top
S5,116.305,-145.095,0.0,top
S6,135.355,-145.095,0.0,top
S7,97.255,-164.145,0.0,top
S8,116.305,-164.145,0.0,top
S9,135.355,-164.145,0.0,top
